domain_id,publication_score,patent_score,grant_score,thesis_score,overall_score,domain_name
2,33.122818479254235,-38.36166947406834,299.57322735539907,-237.3741958061255,37.917852439948454,Wireless Communications and IoT
9,1.5352639784457964,-33.8983416289452,299.57322735539907,-211.3133829834781,29.227910275426765,Advanced Materials and Nanotechnology
13,68.74188311688312,0.0,0.0,0.0,27.496753246753247,Social Computing and Security Analytics
14,48.38888888888889,0.0,0.0,0.0,19.355555555555558,Artificial Intelligence and Computer Vision
5,32.84575569358178,-85.43902595629865,0.0,-131.21393625042873,-25.614799134499755,Applied Mathematics and Simulation
3,-1.5188995284103983,-30.084623286171333,0.0,-205.98980412527055,-30.231927209742615,Computer Systems and Algorithms
18,12.931096681096681,-134.37832353982068,0.0,0.0,-35.14105838950753,Mechanical Systems and Control Engineering
0,19.795574795574797,-97.17706804749017,0.0,-160.94379124341003,-37.32926962035813,Smart Cities and Sustainability
10,16.666233766233766,-147.55517816455745,0.0,-197.75021196025975,-57.375081138899695,Physics and Theoretical Sciences
7,1.6691099458777963,40.03374483648923,-264.90096061185045,-208.6983279139587,-61.172257484468076,Robotics and Autonomous Systems
4,11.213936099177301,-0.21631079647463594,-171.6993602242573,-320.5866548185977,-61.9778563259827,Bioinformatics and Life Sciences
23,11.002669986166959,18.012668720117215,-208.02830028793423,-320.71614414721796,-63.8724058618067,Advanced Manufacturing and Metallurgy
17,48.986464404981135,-88.50679151631097,-231.8281840018737,-162.9337898999832,-69.6164674832739,Cybersecurity and Blockchain
24,0.10509243456677725,7.659278296597137,-297.97373722182715,-251.1822728675059,-82.37315426831017,Biomaterials and Tissue Engineering
20,49.723875661375665,-59.512572105839304,-299.01356946266947,-247.8591768072213,-82.55285294045756,Speech and Language Technologies
12,9.352672554498456,-37.480825973018874,-291.6086107185704,-181.654913078616,-83.99039222168196,Photonics and Quantum Materials
21,-8.88482085290596,56.17260561065588,-297.97373722182715,-410.0781369560772,-87.30470779793878,Intelligent Transportation Systems
1,31.7467343740314,-71.66799180073733,-298.4936533422483,-282.33606414715126,-96.73404087377342,Semiconductors and Nanoelectronics
19,-7.357929386533328,-106.77567353057431,-231.8281840018737,-190.87103591973107,-100.42861420613347,Data Science and Knowledge Discovery
15,13.042452439004164,-95.7306440874747,-282.0900086770172,-279.81502494664437,-107.90171648070863,Energy Storage and Renewable Energy
8,2.2555815743138945,-91.87278366251603,-284.7792719002897,-283.8054733387699,-111.99600418296419,Aerospace and Fluid Dynamics
6,26.65839947089947,-130.44574287566098,-299.01356946266947,-266.59809309409445,-114.93288627628183,Smart Energy Systems
22,2.278872468527642,-126.82246491620035,-282.0900086770172,-317.68661597010185,-125.32185381986267,Construction and Infrastructure Materials
16,-1.2375088181270997,-130.7793203025923,-292.6120954879652,-276.04589759341934,-125.85580847496351,Agriculture and Environmental Systems
11,-11.967899815841282,-184.64441156144292,-244.2194416401997,-322.752447881396,-141.29961651094894,Healthcare and Biomedical Engineering
